time,open,high,low,close,volume
2021-02-04 12:15:00,118.767389396,118.863210216,118.73492281600001,118.8286713,91850
2021-02-04 12:00:00,118.69544977,118.873078477,118.69544977,118.774395862,94773
2021-02-04 11:45:00,118.84347369299999,118.873078477,118.665943668,118.675713247,129391
2021-02-04 11:30:00,118.853341954,119.050707185,118.675713247,118.853341954,165509
2021-02-04 11:15:00,118.705318031,118.997615938,118.537557585,118.863210216,185170
2021-02-04 11:00:00,118.853341954,118.991497616,118.675713247,118.675713247,152710
2021-02-04 10:45:00,118.59676715399999,118.853341954,118.59676715399999,118.844657884,155268
2021-02-04 10:30:00,118.70038390000002,118.750712034,118.532623454,118.58196476200001,231934
2021-02-04 10:15:00,118.236575608,118.73492281600001,118.142827124,118.71508761,227056
2021-02-04 10:00:00,117.639545785,118.271114524,117.432312293,118.221773216,211736
2021-02-04 09:45:00,118.33032409299999,118.409270185,117.30402489299999,117.64941404700001,402773
2021-02-04 09:30:00,117.84677927700001,118.35006061600001,117.728360139,118.320455831,8731
2021-02-04 09:15:00,118.024407985,118.024407985,117.905988847,117.905988847,673
2021-02-04 09:00:00,117.935593631,118.07374929299999,117.935593631,118.024407985,1993
2021-02-04 08:45:00,117.92572537,117.94546189299999,117.905988847,117.92572537,4358
2021-02-04 08:30:00,117.92572537,117.92572537,117.92572537,117.92572537,376
2021-02-04 08:15:00,117.925626687,118.083617554,117.728360139,118.07374929299999,2317
2021-02-04 07:45:00,118.123090601,118.123090601,118.123090601,118.123090601,510
2021-02-04 07:30:00,117.866515801,118.123090601,117.866515801,118.123090601,2682
2021-02-04 07:15:00,117.60994100100001,117.915857108,117.60994100100001,117.866515801,504
2021-02-04 07:00:00,117.59020447700001,117.59020447700001,117.59020447700001,117.59020447700001,298
2021-02-03 19:30:00,117.698755354,117.698755354,117.698755354,117.698755354,1000
2021-02-03 19:15:00,117.570467954,117.570467954,117.550731431,117.550731431,1159
2021-02-03 19:00:00,117.629677524,117.629677524,117.600072739,117.600072739,847
2021-02-03 18:45:00,117.629677524,117.629677524,117.629677524,117.629677524,300
2021-02-03 18:30:00,117.64941404700001,117.67901883100001,117.629677524,117.629677524,994
2021-02-03 18:00:00,117.600072739,117.600072739,117.600072739,117.600072739,155
2021-02-03 17:15:00,117.629677524,117.67901883100001,117.550731431,117.550731431,1084
2021-02-03 16:30:00,117.698755354,117.708623616,117.49152186200001,117.49152186200001,4171
2021-02-03 16:15:00,117.550731431,117.629677524,117.550731431,117.570467954,94304
